Variable;Description;Min;Max;Information
Physician_ID;Unique ID physician;1;370;Unique ID physician
Age;Physician’s age;21;71;Age
Gender;Physician’s gender;;;Male / Female / Other
Years_of_Experience;Years_of_Experience;1;50;Years_of_Experience
NumberOfEmployees;How many employees (staff members including you) work in your current practice or location?;;;How many employees (staff members including you) work in your current practice or location?
Patient_Types;Type of Patients;;;Adult / Pediatric / Mixed / Geriatric
Brand_Most_Recommended;Brand_Most_Recommended;;;A / B / C / D / E / F
recognizedByPatients;Most important attributes when selecting a Brand- Att 1;0;1;Att1 .Recognized and familiar to my patients / Most important attributes when selecting a Brand
comprehensiveProductRange;Most important attributes when selecting a Brand- Att 2;0;1;Att2.Provides a comprehensive range of products   / Most important attributes when selecting a Brand
premiumOption;Most important attributes when selecting a Brand- Att 3;0;1;Att3.Considered a premium option by patients  / Most important attributes when selecting a Brand
patientEducationMaterials;Most important attributes when selecting a Brand- Att 4;0;1;Att4.Provides materials that support patient education  / Most important attributes when selecting a Brand
digitalToolsOffered;Most important attributes when selecting a Brand- Att 5;0;1;Att5.Offers digital tools  / Most important attributes when selecting a Brand
practiceProfitability;Most important attributes when selecting a Brand- Att 6;0;1;Att6.Delivers strong profitability for my practice  / Most important attributes when selecting a Brand
labAddsBusinessValue;Most important attributes when selecting a Brand- Att 7;0;1;Att7.Comes from a lab that adds value to grow my business  / Most important attributes when selecting a Brand
reliableOnlineSupport;Most important attributes when selecting a Brand- Att 8;0;1;Att8.Provides reliable online support   / Most important attributes when selecting a Brand
profitAndPatientSatisfaction;Most important attributes when selecting a Brand- Att 9;0;1;Att9.Balances profitability with patient satisfaction effectively  / Most important attributes when selecting a Brand
innovativeTechnology;Most important attributes when selecting a Brand- Att 10;0;1;Att10.Uses innovative or advanced technology  / Most important attributes when selecting a Brand
investsInResearch;Most important attributes when selecting a Brand- Att 11;0;1;Att11.Invests actively in scientific research  / Most important attributes when selecting a Brand
knowledgeableSalesReps;Most important attributes when selecting a Brand- Att 12;0;1;Att12.Company employs knowledgeable and responsive sales reps  / Most important attributes when selecting a Brand
trainingAtConferences;Most important attributes when selecting a Brand- Att 13;0;1;Att13.Representatives offer useful training and research content at seminars/conferences  / Most important attributes when selecting a Brand
responsiveSalesReps;Most important attributes when selecting a Brand- Att 14;0;1;Att14.Sales reps understand and respond to my needs effectively  / Most important attributes when selecting a Brand
strongRepRelationship;Most important attributes when selecting a Brand- Att 15;0;1;Att15.I maintain a strong professional relationship with the representative  / Most important attributes when selecting a Brand
easyToSellBrand;Most important attributes when selecting a Brand- Att 16;0;1;Att16.Is an easy brand to sell  / Most important attributes when selecting a Brand
superiorVisualClarity;Most important attributes when selecting a Brand- Att 17;0;1;Att17.Provides superior visual clarity for patients  / Most important attributes when selecting a Brand
highQualityProducts;Most important attributes when selecting a Brand- Att 18;0;1;Att18.Consistently delivers high-quality products  / Most important attributes when selecting a Brand
Awareness_A;Awareness score for BRAND A;1;10;Awareness score for BRAND A
Awareness_B;Awareness score for BRAND B;1;10;Awareness score for BRAND B
Awareness_C;Awareness score for BRAND C;1;10;Awareness score for BRAND C
Awareness_D;Awareness score for BRAND D;1;10;Awareness score for BRAND D
Awareness_E;Awareness score for BRAND E;1;10;Awareness score for BRAND E
Awareness_F;Awareness score for BRAND F;1;10;Awareness score for BRAND F
Satisfaction_A;Satisfaction score for BRAND A;1;10;Satisfaction score for BRAND A
Satisfaction_B;Satisfaction score for BRAND B;1;10;Satisfaction score for BRAND B
Satisfaction_C;Satisfaction score for BRAND C;1;10;Satisfaction score for BRAND C
Satisfaction_D;Satisfaction score for BRAND D;1;10;Satisfaction score for BRAND D
Satisfaction_E;Satisfaction score for BRAND E;1;10;Satisfaction score for BRAND E
Satisfaction_F;Satisfaction score for BRAND F;1;10;Satisfaction score for BRAND F
Attr1_A;Satisfaction attribute 1 association with BRAND A;1;10;Att1 .Recognized and familiar to my patients  / BRAND_A
Attr1_B;Satisfaction attribute 1 association with BRAND B;1;10;Att1 .Recognized and familiar to my patients / BRAND_B
Attr1_C;Satisfaction attribute 1 association with BRAND C;1;10;Att1 .Recognized and familiar to my patients / BRAND_C
Attr1_D;Satisfaction attribute 1 association with BRAND D;1;10;Att1 .Recognized and familiar to my patients / BRAND_D
Attr1_E;Satisfaction attribute 1 association with BRAND E;1;10;Att1 .Recognized and familiar to my patients / BRAND_E
Attr1_F;Satisfaction attribute 1 association with BRAND F;1;10;Att1 .Recognized and familiar to my patients / BRAND_F
Attr2_A;Satisfaction attribute 2 association with BRAND A;1;10;Att2.Provides a comprehensive range of products / BRAND_A
Attr2_B;Satisfaction attribute 2 association with BRAND B;1;10;Att2.Provides a comprehensive range of products / BRAND_B
Attr2_C;Satisfaction attribute 2 association with BRAND C;1;10;Att2.Provides a comprehensive range of products / BRAND_C
